school, latitude, longitude, sagarin, public, HBCU, R1
Northern Illinois, 41.934014, -88.778222, 65.9638888888889, 1, 0, 0
Nevada, 39.5469248501715, -119.817559719085, 65.8483333333333, 1, 0, 1
Memphis, 35.1208569172689, -89.9780574112838, 65.6533333333333, 1, 0, 1
Marshall, 38.4248653617916, -82.4218583106994, 65.3372222222222, 1, 0, 0
East Carolina, 35.5964257969893, -77.3652291297912, 65.1722222222222, 1, 0, 0
Western Michigan, 42.2857554874701, -85.6010042130947, 65.045, 1, 0, 0
James Madison, 38.4350889358521, -78.8734033040367, 64.8261111111111, 1, 0, 0
Kansas, 38.9629459889853, -95.2463150024414, 64.2005555555556, 1, 0, 1
South Dakota State, 44.3209773912753, -96.7801523208618, 64.1027777777778, 1, 0, 0
Northern Iowa, 42.5155436208765, -92.4673748016357, 64.1011111111111, 1, 0, 0
Utah State, 41.7515318861288, -111.812105678856, 64.0822222222222, 1, 0, 1
Ohio, 39.321309084594, -82.1034394465235, 63.9572222222222, 1, 0, 1
Louisiana Tech, 32.5322380991582, -92.6560188758494, 63.5777777777778, 1, 0, 0
Troy, 31.7995274152521, -85.9521769158619, 63.5727777777778, 1, 0, 0
Central Michigan, 43.5776122825745, -84.7708296775817, 63.5044444444444, 1, 0, 0
SMU, 32.8377158099425, -96.782705783844, 63.3405555555556, 0, 0, 0
Wyoming, 41.3119359929924, -105.569064617156, 63.2038888888889, 1, 0, 0
Louisiana, 30.2157960967561, -92.0162641355238, 62.6255555555556, 1, 0, 1
Temple, 39.9007489004881, -75.1674914360046, 62.3922222222222, 1, 0, 1
Arkansas State, 35.8489900953236, -90.6676949436291, 62.3, 1, 0, 0
Southern Miss, 31.3289784266123, -89.3313306570053, 62.1888888888889, 1, 0, 1
Colorado State, 40.561742448678, -105.139843711922, 62.1738888888889, 1, 0, 1
Hawaii, 21.3727829932682, -157.929968833923, 62.1205555555556, 1, 0, 1
Montana, 46.8639147960056, -113.982060589555, 61.5688888888889, 1, 0, 1
Western Kentucky, 36.9848766298946, -86.459013971646, 61.5477777777778, 1, 0, 0
Army, 41.3870804347742, -73.9640808105468, 61.5205555555556, 1, 0, 0
Georgia Southern, 32.4122116763477, -81.7831707000732, 61.0411111111111, 1, 0, 0
Ball State, 40.2160276446665, -85.4176996220661, 60.7761111111111, 1, 0, 0
UAB, 33.5021843351162, -86.8057173092343, 60.621875, 1, 0, 1
San Jose State, 37.3201051866908, -121.86811613079, 60.2216666666667, 1, 0, 0
Middle Tennessee, 35.8511090805408, -86.3684499263763, 60.1827777777778, 1, 0, 0
UConn, 41.7598842782029, -72.6189422607421, 59.5811111111111, 1, 0, 1
Eastern Washington, 47.4927037670047, -117.588129043579, 59.5788888888889, 1, 0, 0
Buffalo, 42.9990683823964, -78.7775194644928, 59.5255555555556, 1, 0, 1
Tulane, 29.9458981125284, -90.1151911230632, 59.3438888888889, 0, 0, 1
Florida Atlantic, 26.3754535636523, -80.101683139801, 58.8622222222222, 1, 0, 0
Miami (OH), 39.5194211314234, -84.7333545014001, 58.8522222222222, 1, 0, 0
Bowling Green, 41.3780543980322, -83.6224821209907, 58.515, 1, 0, 0
Southern Illinois, 37.7084995618978, -89.2169578488814, 58.0266666666667, 1, 0, 0
UTSA, 29.4169371286815, -98.4789025783538, 57.6158333333333, 1, 0, 1
Illinois State, 40.5120046806667, -88.9962530136108, 57.4816666666667, 1, 0, 0
Youngstown State, 41.1094614636735, -80.6499762946883, 57.1644444444445, 1, 0, 0
New Mexico, 35.0676104826716, -106.628102835815, 57.1416666666667, 1, 0, 1
Rice, 29.7162340290943, -95.4092645645141, 57.0833333333333, 0, 0, 1
Villanova, 40.0329706943882, -75.3367495536804, 56.8594444444445, 0, 0, 0
Kent State, 41.1390868254951, -81.3134394586086, 56.8272222222222, 1, 0, 1
Richmond, 37.5778650064474, -77.5439715385437, 56.7811111111111, 0, 0, 0
Montana State, 45.6589275258896, -111.049590110778, 56.5944444444445, 1, 0, 1
UNLV, 36.0859738804692, -115.017113685607, 56.1388888888889, 1, 0, 1
Sam Houston State, 30.7139467376334, -95.5419158935546, 56.1083333333333, 1, 0, 0
Coastal Carolina, 33.7928381752244, -79.0170228280525, 55.7516666666667, 1, 0, 0
New Hampshire, 43.138686442556, -70.9391525387764, 55.4533333333333, 1, 0, 1
Louisiana Monroe, 32.5310686945154, -92.0664407506764, 55.3811111111111, 1, 0, 0
Eastern Michigan, 42.2557607087688, -83.647756576538, 55.2177777777778, 1, 0, 0
North Texas, 33.2039350840891, -97.1592235565185, 54.8055555555556, 1, 0, 1
Jacksonville State, 33.820310305704, -85.7664656639099, 54.7194444444444, 1, 0, 0
South Alabama, 30.6742389873067, -88.0756330490112, 54.46, 1, 0, 0
Wofford, 34.9618610164783, -81.9334982124616, 54.4227777777778, 0, 0, 0
Liberty, 37.354414, -79.175047, 53.9861111111111, 0, 0, 0
UTEP, 31.7733453051277, -106.507896780967, 53.78, 1, 0, 1
Old Dominion, 36.8887813152348, -76.3056761026382, 53.7014285714286, 1, 0, 1
Central Arkansas, 35.0803032166218, -92.4601221084594, 53.4541176470588, 1, 0, 0
Weber State, 41.1919730213628, -111.940805756734, 53.3911111111111, 1, 0, 0
Furman, 34.9198365246995, -82.4377689786167, 53.2072222222222, 0, 0, 0
Harvard, 42.366997, -71.12680128, 52.8144444444445, 0, 0, 1
FIU, 25.752492787474, -80.3778648376464, 52.7827777777778, 1, 0, 1
Akron, 41.0725695152871, -81.5083837509155, 52.7433333333333, 1, 0, 0
Chattanooga, 35.0360404491686, -85.3157687187194, 52.4888888888889, 1, 0, 0
Delaware, 39.6617040181287, -75.7488301174382, 52.3622222222222, 1, 0, 1
William & Mary, 37.2730624594961, -76.7142248153686, 52.3533333333333, 1, 0, 0
Georgia State, 33.7576173764784, -84.4010603427887, 51.7423076923077, 1, 0, 1
Idaho, 46.7263496146411, -117.017551919226, 51.6411111111111, 1, 0, 0
South Dakota, 42.7910502570519, -96.9275201606501, 51.5066666666667, 1, 0, 0
UMass, 42.3775132360045, -72.5356268605241, 51.5005555555556, 1, 0, 1
Kennesaw State, 34.0234337, -84.6154897, 51.4175, 1, 0, 0
McNeese State, 30.1736932843449, -93.2107460048247, 51.0188888888889, 1, 0, 0
Samford, 33.463425, -86.7952701999999, 50.8738888888889, 0, 0, 0
UC Davis, 38.5366354611756, -121.763319969177, 50.8733333333333, 1, 0, 0
North Dakota, 47.9112541581595, -97.0904868543121, 50.526, 1, 0, 0
Northern Arizona, 35.180402970069, -111.653022766113, 50.2466666666667, 1, 0, 0
Texas State, 29.8913445487971, -97.9253118055946, 50.1466666666667, 1, 0, 0
Maine, 44.9044661257467, -68.673550558134, 49.8688888888889, 1, 0, 1
Western Illinois, 40.468392354607, -90.6841564178466, 49.7022222222222, 1, 0, 0
Sacramento State, 38.5552050075269, -121.422132253646, 49.4933333333333, 1, 0, 0
Cal Poly, 35.2985168294003, -120.665114225167, 49.0344444444444, 1, 0, 0
Missouri State, 37.1976295206597, -93.2799875736236, 48.9538888888889, 1, 0, 0
New Mexico State, 32.279749382264, -106.741136312484, 48.7788888888889, 1, 0, 0
Citadel, 32.7932634640853, -79.9564318910352, 48.7605555555556, 1, 0, 0
Towson, 39.3885267480887, -76.615959405899, 48.5616666666667, 1, 0, 0
Eastern Kentucky, 37.7344758710105, -84.298095703125, 48.4094444444444, 1, 0, 0
Princeton, 40.3482203655987, -74.6590840816497, 48.2711111111111, 0, 0, 1
Yale, 41.3121251231602, -72.960229121659, 48.0355555555556, 0, 0, 1
SE Louisiana, 30.5109652922055, -90.4687964916229, 47.8227777777778, 1, 0, 0
Tennessee-Martin, 36.3447372747397, -88.8611769676208, 47.6322222222222, 1, 0, 0
Charlotte, 35.310280676164, -80.7404937710652, 47.449, 1, 0, 0
Portland State, 45.5215559707807, -122.691739797592, 47.3572222222222, 1, 0, 0
Southern Utah, 37.6756687492631, -113.077490329742, 47.1472222222222, 1, 0, 0
Elon, 36.1098743683231, -79.5076811313629, 46.6916666666667, 0, 0, 0
Dartmouth, 43.7012721867834, -72.2847763239833, 46.6, 0, 0, 1
Holy Cross, 42.2410046910841, -71.8114042282104, 45.6105555555556, 0, 0, 0
Stephen F. Austin, 31.6254476402517, -94.6449971628411, 45.5827777777778, 1, 0, 0
Pennsylvania, 39.9498850045148, -75.1898074150085, 45.5472222222222, 0, 0, 1
Stony Brook, 40.9183122023565, -73.1240451335907, 45.2388888888889, 1, 0, 1
Eastern Illinois, 39.4805930240453, -88.1811618804931, 45.1711111111111, 1, 0, 0
Mercer, 32.834263, -83.626851, 45.023, 0, 0, 0
Indiana State, 39.4743654748612, -87.3673582077026, 43.9505555555556, 1, 0, 0
Colgate, 42.8165272450098, -75.5458116531372, 43.6794444444445, 0, 0, 0
Albany (NY), 42.6815441600528, -73.8277173042297, 43.6316666666667, 1, 0, 1
SC State, 33.4987670093182, -80.8449335485868, 43.5477777777778, 1, 1, 0
Monmouth-NJ, 40.2793333205064, -74.0094745159149, 43.3961111111111, 0, 0, 0
Tarleton State, 32.2161158640082, -98.2159422695288, 42.89, 1, 0, 0
Nicholls State, 29.7866830856858, -90.8036386917808, 42.7277777777778, 1, 0, 0
Lehigh, 40.5891237081224, -75.3554606437683, 42.6961111111111, 0, 0, 0
Western Carolina, 35.3046540476882, -83.1826186180114, 42.4483333333333, 1, 0, 0
