Alabama, 33.2074899449517, -87.5503921508789, 159.771175266879
Ohio State, 40.0016856893694, -83.019728064537, 153.284469456736
Oklahoma, 35.205899594885, -97.4425506591796, 148.371926828175
LSU, 30.4120123982997, -91.1838197708129, 146.31870566656
Clemson, 34.6787466574134, -82.8431797027587, 146.033154775672
Georgia, 33.9498214894988, -83.3734416961669, 146.014888936604
Oregon, 44.0582727242666, -123.068504333496, 141.349561751604
USC, 34.0140097406291, -118.287895917892, 140.472763092152
Florida, 29.6498686779723, -82.348666191101, 140.185396240058
Wisconsin, 43.0699380264687, -89.4127464294433, 140.082915012121
Texas, 30.2836034020682, -97.7323365211486, 138.353260040322
Penn State, 40.8121527327504, -77.8562021255493, 138.138984297933
TCU, 32.7099159694234, -97.3679959774017, 137.457138274368
Auburn, 32.6023616668175, -85.4889106750488, 137.411246624516
Notre Dame, 41.6984231215861, -86.2338244915008, 136.545303498639
Oklahoma State, 36.1257086623585, -97.0665049552917, 136.158370936442
Michigan, 42.2658687325173, -83.7487256526947, 135.389579716017
Florida State, 30.4375475846212, -84.304533981035, 134.154615696663
Texas A&M, 30.6100975781747, -96.3407292285928, 133.2285932416
Utah, 40.7599478200457, -111.8488240242, 132.388907797104
Iowa, 41.6583889368098, -91.5514755249023, 132.262186818156
Boise State, 43.6027080538683, -116.195912361145, 132.200259527032
West Virginia, 39.6522199248281, -79.9551753012939, 131.134571723351
Virginia Tech, 37.2199742830054, -80.4180550575256, 130.815684816101
Stanford, 37.4347264132917, -122.161016464233, 130.723363582438
Michigan State, 42.7281691163326, -84.4848753511905, 129.528482841587
Washington, 47.6504305440122, -122.302919847393, 128.74227236545
Missouri, 38.9358952967223, -92.3331141471862, 128.690000537579
Kansas State, 39.2018636181424, -96.593792438507, 128.378310463509
South Carolina, 33.9725911545769, -81.020216345787, 127.895706763766
Mississippi State, 33.456230599072, -88.7934243679046, 127.667762547132
Tennessee, 35.9547343726225, -83.9253330230712, 127.478786851424
Arizona State, 33.426364, -111.932616, 126.995542840347
Nebraska, 40.8204835232949, -96.7057156562805, 126.954726337813
BYU, 40.2574879974631, -111.654438972473, 126.930047170801
Miami (FL), 25.9579337390289, -80.2388405799865, 126.632033234591
Arkansas, 36.0678507851673, -94.1787958145141, 126.366342084565
Baylor, 31.5586626355116, -97.1156001091003, 126.271464688683
Texas Tech, 33.591028298011, -101.87293767929, 126.237310412345
Louisville, 38.2054216852114, -85.758105615668, 126.171850397546
UCLA, 34.1615695872626, -118.167614936828, 125.999202564563
Ole Miss, 34.3621543029929, -89.534146260209, 125.037701814227
Pittsburgh, 40.4467837650163, -80.0157558917999, 124.345912730124
Cincinnati, 39.131284252734, -84.5162614374157, 122.839405412853
California, 37.8706866037042, -122.250709533691, 122.736255257087
North Carolina, 35.9069883474785, -79.0479183197021, 122.601887975974
Georgia Tech, 33.7725569213194, -84.3928527832031, 121.920795346484
NC State, 35.8007596820789, -78.7194871902465, 121.417765579593
Minnesota, 44.9765249691119, -93.2245758175849, 120.669245232161
Oregon State, 44.5594768421455, -123.281407356262, 120.436836042823
Northwestern, 42.0653996675299, -87.6924955844879, 120.374489290694
Iowa State, 42.0140054110848, -93.6358094215393, 120.087354290977
Boston College, 42.3351083489585, -71.1664724349975, 119.97402869858
Kentucky, 38.0226216812936, -84.5052051544189, 119.625613499726
Arizona, 32.2283402320714, -110.949039459228, 118.585638848364
UCF, 28.607958859227, -81.1929988861084, 118.243251171721
Wake Forest, 36.0918348106127, -80.2553415298461, 118.145173227218
North Dakota State, 46.902907626801, -96.8015222161342, 117.800073195779
Houston, 29.7217679632935, -95.3490984109521, 117.672805385029
Washington State, 46.731967978653, -117.160585787811, 116.897214150662
Navy, 38.9848326354336, -76.5071153640747, 116.229430746682
Maryland, 38.9912027514442, -76.9473117324878, 115.488590065834
Virginia, 38.0311237285568, -78.513708114624, 115.282511605589
Air Force, 38.9969074312268, -104.843688011169, 114.974867751325
Appalachian State, 36.211515301693, -81.6855061054229, 113.986587193986
Purdue, 40.434323, -86.918485, 113.269607285201
San Diego State, 32.7830532577911, -117.119600772857, 113.026322418644
Tulsa, 36.148860675192, -95.943603515625, 112.108093627804
Indiana, 39.1809091337292, -86.5255737304687, 111.752439928789
South Florida, 27.9759944700371, -82.5033491849899, 111.70928051176
Rutgers, 40.5137828930887, -74.4650445708728, 111.69239245683
Syracuse, 43.0361328204232, -76.136519908905, 111.223372704112
Toledo, 41.6573907789532, -83.6140171915029, 110.802346117126
Fresno State, 36.8143196952459, -119.758101566905, 110.531428153565
Vanderbilt, 36.1435584969637, -86.8087720870971, 110.296181588296
Illinois, 40.0993057313305, -88.2359862327575, 110.063791524983
Colorado, 40.0093983744632, -105.266886949539, 110.026313431397
Duke, 35.9953166502013, -78.9417243003845, 109.058844573162
Northern Illinois, 41.934014, -88.778222, 108.677877494426
Nevada, 39.5469248501715, -119.817559719085, 108.483228628666
Memphis, 35.1208569172689, -89.9780574112838, 108.154830676627
Marshall, 38.4248653617916, -82.4218583106994, 107.622663093191
East Carolina, 35.5964257969893, -77.3652291297912, 107.344983366959
Western Michigan, 42.2857554874701, -85.6010042130947, 107.130924711415
James Madison, 38.4350889358521, -78.8734033040367, 106.762722672695
Kansas, 38.9629459889853, -95.2463150024414, 105.711087143656
South Dakota State, 44.3209773912753, -96.7801523208618, 105.54679639457
Northern Iowa, 42.5155436208765, -92.4673748016357, 105.543996185477
Utah State, 41.7515318861288, -111.812105678856, 105.512260954476
Ohio, 39.321309084594, -82.1034394465235, 105.302270277556
